,country,cluster_id,competitor_entry_date
0,country_4,ID_312,2014-09-01
2,country_14,ID_1349,2021-05-01
3,country_14,ID_1349,2002-11-01
4,country_22,ID_1875,2007-01-01
5,country_24,ID_1998,2018-09-01
6,country_4,ID_349,2020-01-01
7,country_34,ID_3203,2021-05-01
8,country_33,ID_2723,2018-09-01
9,country_35,ID_1155,2019-04-01
10,country_2,ID_105,2006-12-01
11,country_35,ID_1150,2018-05-01
12,country_20,ID_1645,2013-05-01
13,country_37,ID_566,2014-03-01
14,country_16,ID_1397,2017-09-01
15,country_22,ID_1858,2019-03-01
17,country_35,ID_1139,2022-04-01
18,country_41,ID_3142,2021-10-01
19,country_2,ID_91,2013-04-01
20,country_38,ID_2973,2006-09-01
21,country_21,ID_1749,2016-05-01
23,country_6,ID_484,2018-04-01
24,country_15,ID_911,2000-05-01
25,country_21,ID_1754,2006-07-01
26,country_42,ID_3024,2014-11-01
28,country_35,ID_1156,2021-07-01
29,country_20,ID_1635,2013-02-01
30,country_21,ID_1753,2015-08-01
31,country_7,ID_679,2016-06-01
33,country_18,ID_1563,1999-07-01
34,country_14,ID_1320,1990-11-01
36,country_14,ID_1330,2015-12-01
38,country_20,ID_1635,2015-03-01
39,country_36,ID_2595,2020-10-01
40,country_35,ID_1137,2000-12-01
41,country_36,ID_2569,2021-09-01
44,country_32,ID_2616,2000-07-01
45,country_20,ID_1638,2015-08-01
46,country_38,ID_2978,2009-12-01
48,country_35,ID_1145,2007-01-01
49,country_42,ID_3030,2018-02-01
50,country_4,ID_292,2004-04-01
51,country_0,ID_62,2004-01-01
52,country_22,ID_1860,2008-07-01
53,country_32,ID_2674,2022-01-01
54,country_38,ID_2919,2004-10-01
55,country_24,ID_2014,2018-01-01
56,country_31,ID_2487,2021-08-01
57,country_20,ID_1635,2012-03-01
59,country_18,ID_1567,2019-01-01
61,country_13,ID_1244,2002-02-01
62,country_20,ID_1666,2003-03-01
63,country_18,ID_1572,2013-08-01
64,country_4,ID_312,2022-02-01
65,country_35,ID_1132,2010-09-01
66,country_34,ID_3201,2000-12-01
67,country_36,ID_2568,2021-04-01
68,country_21,ID_1757,2007-07-01
69,country_4,ID_312,2016-07-01
71,country_20,ID_1641,2006-08-01
72,country_38,ID_2947,1998-09-01
73,country_6,ID_495,2021-01-01
74,country_21,ID_1731,2000-09-01
75,country_4,ID_349,2003-05-01
78,country_32,ID_2638,2020-01-01
80,country_22,ID_1856,2019-06-01
81,country_15,ID_924,2021-06-01
82,country_31,ID_2491,2021-09-01
84,country_21,ID_1774,2011-05-01
85,country_4,ID_353,2021-09-01
86,country_16,ID_1397,2015-02-01
87,country_14,ID_1320,2018-09-01
88,country_42,ID_3041,2017-02-01
89,country_2,ID_91,2006-12-01
90,country_21,ID_1756,2017-04-01
91,country_10,ID_834,2020-04-01
92,country_42,ID_3036,2018-01-01
93,country_0,ID_37,2019-01-01
94,country_41,ID_3100,2010-03-01
95,country_42,ID_3023,2012-08-01
96,country_32,ID_2665,1998-05-01
97,country_41,ID_3112,2009-06-01
98,country_14,ID_1298,1995-06-01
99,country_32,ID_2616,2004-09-01
100,country_16,ID_1389,2020-03-01
101,country_38,ID_2924,2014-05-01
102,country_22,ID_1836,2017-03-01
103,country_4,ID_321,2016-04-01
104,country_32,ID_2656,2020-11-01
105,country_16,ID_1389,2016-04-01
106,country_29,ID_2345,2020-08-01
107,country_42,ID_3025,1997-02-01
108,country_38,ID_2945,2003-04-01
111,country_6,ID_482,2008-02-01
112,country_35,ID_1137,2015-11-01
113,country_20,ID_1664,1999-09-01
114,country_6,ID_494,2021-03-01
115,country_32,ID_2670,1999-04-01
116,country_18,ID_1549,2020-01-01
117,country_4,ID_329,2013-08-01
120,country_35,ID_1139,2022-01-01
121,country_21,ID_1761,2019-06-01
122,country_16,ID_1402,2018-05-01
123,country_21,ID_1803,2011-11-01
124,country_37,ID_587,2011-11-01
125,country_0,ID_16,2012-06-01
127,country_35,ID_1189,2021-10-01
129,country_42,ID_3024,2000-08-01
130,country_35,ID_1146,1991-01-01
131,country_41,ID_3122,2006-03-01
132,country_15,ID_905,2008-12-01
133,country_42,ID_3060,2021-02-01
134,country_37,ID_585,2008-08-01
135,country_14,ID_1349,2017-12-01
136,country_18,ID_1566,2010-02-01
137,country_20,ID_1639,2000-11-01
138,country_41,ID_3113,2009-03-01
139,country_35,ID_1137,2001-11-01
140,country_31,ID_2497,2019-03-01
142,country_36,ID_2595,2014-06-01
144,country_7,ID_660,2006-08-01
145,country_5,ID_431,2018-08-01
147,country_16,ID_1437,2020-11-01
148,country_16,ID_1393,2015-02-01
149,country_35,ID_1177,2010-01-01
150,country_15,ID_879,1998-02-01
151,country_31,ID_2493,2021-11-01
152,country_42,ID_3042,2016-01-01
153,country_20,ID_1644,2006-07-01
154,country_22,ID_1839,2020-03-01
156,country_15,ID_911,2014-07-01
158,country_21,ID_1761,2018-01-01
159,country_21,ID_1756,2010-09-01
161,country_21,ID_1749,2012-10-01
162,country_21,ID_1803,2011-12-01
163,country_6,ID_484,2015-03-01
164,country_7,ID_675,2014-11-01
165,country_37,ID_603,2021-08-01
166,country_32,ID_2631,2012-09-01
168,country_35,ID_1150,2015-01-01
169,country_16,ID_1401,2017-01-01
170,country_38,ID_2925,2000-07-01
171,country_22,ID_1863,2019-06-01
172,country_13,ID_1238,2014-11-01
173,country_18,ID_1567,2013-06-01
174,country_22,ID_1856,2014-04-01
175,country_16,ID_1397,2016-02-01
176,country_10,ID_842,1997-05-01
178,country_15,ID_916,2017-09-01
179,country_42,ID_3030,2019-08-01
180,country_22,ID_1876,2017-08-01
182,country_15,ID_917,2020-12-01
183,country_22,ID_1849,2015-02-01
184,country_13,ID_1244,2021-01-01
186,country_22,ID_1873,2022-02-01
187,country_6,ID_478,1999-06-01
188,country_37,ID_566,2009-02-01
189,country_38,ID_2978,2011-10-01
190,country_35,ID_1135,2021-03-01
191,country_18,ID_1592,2005-07-01
192,country_16,ID_1403,2014-01-01
193,country_22,ID_1837,2002-12-01
194,country_36,ID_2562,2014-11-01
196,country_34,ID_3191,2015-05-01
197,country_32,ID_2628,2012-05-01
198,country_18,ID_1596,2001-07-01
199,country_22,ID_1854,2021-03-01
200,country_35,ID_1112,1995-12-01
201,country_15,ID_910,2019-01-01
204,country_13,ID_1269,2017-10-01
205,country_15,ID_921,2019-02-01
206,country_22,ID_1842,2006-11-01
207,country_38,ID_2943,2014-09-01
208,country_20,ID_1666,2011-10-01
210,country_4,ID_312,2013-08-01
212,country_18,ID_1553,2003-02-01
213,country_4,ID_308,2016-03-01
214,country_4,ID_315,2005-03-01
215,country_1,ID_193,2019-10-01
216,country_1,ID_198,2017-12-01
217,country_38,ID_2950,2016-05-01
219,country_32,ID_2664,1990-10-01
220,country_38,ID_2919,1995-07-01
223,country_15,ID_911,1996-05-01
227,country_41,ID_3113,2013-12-01
229,country_37,ID_574,2021-06-01
230,country_24,ID_1997,2016-04-01
232,country_14,ID_1302,2020-07-01
233,country_41,ID_3083,2017-05-01
234,country_35,ID_1150,1999-05-01
235,country_41,ID_3087,1999-06-01
236,country_14,ID_1314,2019-03-01
239,country_38,ID_2978,2016-03-01
240,country_35,ID_1120,2006-07-01
241,country_22,ID_1839,2017-03-01
242,country_42,ID_3032,2007-02-01
243,country_20,ID_1668,2014-04-01
244,country_32,ID_2639,2011-05-01
245,country_21,ID_1797,2018-07-01
246,country_15,ID_902,2006-11-01
247,country_6,ID_482,2019-05-01
248,country_31,ID_2493,2017-10-01
