,country,cluster_id,gx_entry_date
0,country_14,ID_1304,2019-09-01
1,country_16,ID_1398,2020-06-01
2,country_28,ID_2195,2021-05-01
4,country_0,ID_5,2021-08-01
5,country_4,ID_0,2017-11-01
6,country_14,ID_1344,2020-08-01
7,country_22,ID_1847,2021-01-01
8,country_41,ID_3140,2020-04-01
11,country_42,ID_3259,2016-09-01
12,country_0,ID_44,2021-10-01
14,country_28,ID_2225,2021-11-01
15,country_11,ID_994,2022-04-01
24,country_18,ID_1597,2022-01-01
26,country_6,ID_477,2020-03-01
28,country_38,ID_2920,2022-03-01
29,country_10,ID_3235,2017-03-01
30,country_14,ID_3244,2014-09-01
37,country_19,ID_1688,2021-04-01
38,country_18,ID_1551,2021-01-01
40,country_10,ID_856,2022-01-01
41,country_20,ID_1633,2022-03-01
42,country_27,ID_2251,2022-02-01
44,country_42,ID_3260,2017-06-01
46,country_4,ID_297,2021-05-01
49,country_1,ID_180,2021-08-01
51,country_19,ID_1697,2021-06-01
52,country_19,ID_1705,2021-09-01
57,country_8,ID_718,2020-11-01
59,country_24,ID_1964,2021-08-01
60,country_34,ID_3188,2022-04-01
61,country_21,ID_1746,2021-12-01
63,country_28,ID_2197,2021-09-01
64,country_37,ID_549,2021-07-01
65,country_40,ID_2902,2019-08-01
68,country_40,ID_2870,2021-11-01
71,country_21,ID_1802,2021-11-01
72,country_14,ID_1307,2019-09-01
73,country_14,ID_1314,2019-02-01
75,country_37,ID_607,2021-11-01
77,country_39,ID_2788,2020-04-01
81,country_16,ID_1397,2022-03-01
82,country_14,ID_1345,2019-07-01
85,country_0,ID_43,2021-06-01
87,country_41,ID_3263,2014-06-01
96,country_39,ID_2798,2019-06-01
97,country_15,ID_3238,2018-12-01
98,country_6,ID_250,2017-09-01
101,country_27,ID_2252,2021-12-01
105,country_22,ID_3254,2018-06-01
106,country_22,ID_3255,2018-04-01
107,country_17,ID_1465,2021-07-01
108,country_17,ID_1470,2021-04-01
109,country_40,ID_2865,2020-01-01
111,country_28,ID_2183,2021-07-01
115,country_13,ID_1224,2020-10-01
116,country_29,ID_2360,2020-03-01
119,country_4,ID_355,2021-10-01
122,country_21,ID_1789,2020-11-01
123,country_22,ID_3253,2015-09-01
125,country_39,ID_2787,2021-02-01
136,country_17,ID_1482,2021-06-01
140,country_22,ID_1866,2022-04-01
141,country_31,ID_2511,2019-10-01
144,country_14,ID_3243,2015-10-01
145,country_26,ID_2048,2021-07-01
147,country_34,ID_3192,2022-03-01
148,country_21,ID_1790,2020-02-01
149,country_36,ID_2596,2021-11-01
156,country_42,ID_3016,2021-04-01
159,country_9,ID_768,2021-08-01
161,country_41,ID_3121,2020-09-01
165,country_0,ID_46,2021-02-01
166,country_16,ID_1439,2020-08-01
168,country_8,ID_701,2020-09-01
169,country_19,ID_1707,2019-11-01
171,country_9,ID_792,2021-09-01
176,country_6,ID_248,2013-04-01
179,country_6,ID_492,2019-07-01
180,country_15,ID_947,2019-11-01
184,country_14,ID_3240,2019-06-01
185,country_22,ID_1877,2020-07-01
188,country_21,ID_1740,2019-11-01
190,country_28,ID_2191,2021-05-01
192,country_20,ID_1621,2021-08-01
194,country_8,ID_709,2021-06-01
200,country_20,ID_1634,2019-08-01
201,country_39,ID_2777,2020-03-01
203,country_15,ID_3237,2019-01-01
204,country_14,ID_1315,2021-12-01
205,country_21,ID_1738,2022-02-01
206,country_15,ID_906,2019-05-01
209,country_6,ID_249,2013-10-01
211,country_11,ID_978,2021-11-01
215,country_34,ID_3163,2021-10-01
217,country_27,ID_2263,2021-08-01
219,country_16,ID_1388,2020-02-01
220,country_8,ID_702,2021-12-01
222,country_41,ID_3082,2021-11-01
225,country_36,ID_2557,2022-02-01
226,country_16,ID_1440,2019-04-01
228,country_9,ID_757,2021-11-01
229,country_36,ID_2542,2021-08-01
231,country_16,ID_1399,2019-04-01
232,country_0,ID_77,2021-01-01
233,country_41,ID_3265,2019-03-01
