,cluster_id,launch_date
0,ID_100,2004-08-01
1,ID_1000,2014-01-01
2,ID_1002,2011-08-01
3,ID_1003,2016-01-01
4,ID_1004,2015-11-01
5,ID_1005,2015-05-01
6,ID_1006,2005-11-01
7,ID_1009,2015-10-01
8,ID_1011,2015-09-01
9,ID_1013,2008-11-01
10,ID_1014,2010-09-01
11,ID_1015,2015-09-01
12,ID_102,2008-02-01
13,ID_1029,2017-01-01
14,ID_1030,2006-08-01
15,ID_1049,1996-10-01
16,ID_105,2007-11-01
17,ID_1050,1999-01-01
18,ID_1051,1997-08-01
19,ID_1054,1978-04-01
20,ID_1055,2012-01-01
21,ID_1056,2011-12-01
22,ID_1057,1998-11-01
23,ID_1058,2005-05-01
24,ID_1059,2004-01-01
25,ID_106,2008-08-01
26,ID_1060,2005-09-01
27,ID_1062,2011-02-01
28,ID_1063,2002-07-01
29,ID_1064,2011-08-01
30,ID_1065,2009-04-01
31,ID_1066,2011-12-01
32,ID_1068,2012-01-01
33,ID_1069,2011-08-01
34,ID_107,2006-12-01
35,ID_1070,2012-11-01
36,ID_1071,2012-01-01
37,ID_1072,2012-01-01
38,ID_1073,2012-09-01
39,ID_1074,2012-08-01
40,ID_1075,2010-04-01
41,ID_1076,2015-05-01
42,ID_1077,2015-12-01
43,ID_1078,2013-10-01
44,ID_108,2009-11-01
45,ID_1080,2016-04-01
46,ID_1082,2011-07-01
47,ID_1083,2013-12-01
48,ID_1084,2016-12-01
49,ID_1087,2007-06-01
50,ID_1089,2017-04-01
51,ID_109,2011-07-01
52,ID_1090,2007-08-01
53,ID_1091,2012-03-01
54,ID_1092,2011-08-01
55,ID_1093,2002-05-01
56,ID_1095,2008-04-01
57,ID_1097,2005-06-01
58,ID_1098,2017-03-01
59,ID_1099,2015-09-01
60,ID_11,2003-08-01
61,ID_110,2010-04-01
62,ID_1100,2009-12-01
63,ID_1101,2011-12-01
64,ID_1111,2001-04-01
65,ID_1112,1997-06-01
66,ID_1113,1997-12-01
67,ID_1114,1999-02-01
68,ID_1119,1999-09-01
69,ID_112,2010-04-01
70,ID_1120,2002-06-01
71,ID_1121,1998-10-01
72,ID_1122,2004-12-01
73,ID_1125,2006-01-01
74,ID_1128,1998-12-01
75,ID_1129,2001-08-01
76,ID_113,2015-03-01
77,ID_1130,2005-02-01
78,ID_1131,2008-05-01
79,ID_1132,2008-07-01
